GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DepartmentSpringboot,com.harshproject.exception,ApiError,207,20,38,0,7,2,33,1,14,1
DepartmentSpringboot,com.harshproject.exception,GlobalExceptionHandler,11,22,0,0,2,6,0,2,0,2
DepartmentSpringboot,com.harshproject.exception,DepartmentNotFoundException,4,0,0,0,2,0,1,0,1,0
DepartmentSpringboot,com.harshproject.exception,MyJsonConversionException,0,5,0,0,0,2,0,1,0,1
DepartmentSpringboot,com.harshproject.filter,JwtAuthFilter,0,74,2,8,0,19,2,5,0,2
DepartmentSpringboot,com.harshproject.scheduler,SchedulerComponent,12,11,0,0,6,4,3,3,3,3
DepartmentSpringboot,com.harshproject,DepartmentSpringbootApplication,5,3,0,0,2,1,1,1,1,1
DepartmentSpringboot,com.harshproject,DepartmentSpringbootApplication.SwaggerConfig,0,27,0,0,0,6,0,3,0,3
DepartmentSpringboot,com.harshproject.controller,AuthController,25,17,2,0,5,6,2,2,1,2
DepartmentSpringboot,com.harshproject.controller,DepartmentController,172,140,0,0,41,28,7,9,7,9
DepartmentSpringboot,com.harshproject.controller,HealthController,0,10,0,0,0,4,0,2,0,2
DepartmentSpringboot,com.harshproject.util,DepartmentEmailAspect,59,101,7,5,17,36,7,11,0,10
DepartmentSpringboot,com.harshproject.util,CustomHealthIndicator,0,32,0,2,0,10,0,4,0,3
DepartmentSpringboot,com.harshproject.dto,DepartmentDTO.DepartmentDTOBuilder,8,28,0,0,0,1,1,5,1,5
DepartmentSpringboot,com.harshproject.dto,DepartmentDTO,13,158,8,22,0,7,8,20,0,13
DepartmentSpringboot,com.harshproject.service,UserInfoUserDetailsService,0,25,0,0,0,6,0,3,0,3
DepartmentSpringboot,com.harshproject.service,AuthService,0,23,0,0,0,7,0,2,0,2
DepartmentSpringboot,com.harshproject.service,JwtService,0,101,1,3,0,24,1,11,0,10
DepartmentSpringboot,com.harshproject.service,DepartmentServiceImpl,13,69,0,0,3,22,1,8,1,8
DepartmentSpringboot,com.harshproject.listener,Listener,17,81,2,4,5,24,2,7,0,6
DepartmentSpringboot,com.harshproject.entity,AuthRequest,18,106,8,14,0,5,9,12,1,9
DepartmentSpringboot,com.harshproject.entity,UserInfoUserDetails,8,36,0,2,4,12,4,5,4,4
DepartmentSpringboot,com.harshproject.entity,Department,21,146,8,22,0,6,9,18,1,11
DepartmentSpringboot,com.harshproject.entity,UserInfo,28,223,10,30,0,14,11,26,1,16
DepartmentSpringboot,com.harshproject.config,RabbitMQConfig,0,25,0,0,0,4,0,4,0,4
DepartmentSpringboot,com.harshproject.config,SecurityConfig,0,120,0,0,0,23,0,6,0,6
